INDUS,NOX,RM,AGE,DIS,TAX,PTRATIO,LSTAT,MEDV
18.1,0.77,6.112,81.3,2.5091,666.0,20.2,12.67,22.6
18.1,0.7,5.52,100.0,1.5331,666.0,20.2,24.56,12.3
7.38,0.493,6.431,14.7,5.4159,287.0,19.6,5.08,24.6
18.1,0.597,5.617,97.9,1.4547,666.0,20.2,26.4,17.2
11.93,0.573,6.12,76.7,2.2875,273.0,21.0,9.08,20.6
2.18,0.472,7.42,71.9,3.0992,222.0,18.4,6.47,33.4
18.1,0.713,6.728,94.1,2.4961,666.0,20.2,18.71,14.9
2.89,0.445,7.416,62.5,3.4952,276.0,18.0,6.19,33.2
18.1,0.671,6.223,100.0,1.3861,666.0,20.2,21.78,10.2
11.93,0.573,6.593,69.1,2.4786,273.0,21.0,9.67,22.4
4.93,0.428,6.393,7.8,7.0355,300.0,16.6,5.19,23.7
10.01,0.547,5.928,88.2,2.4631,432.0,17.8,15.76,18.3
18.1,0.77,6.398,88.0,2.5182,666.0,20.2,7.79,25.0
10.01,0.547,6.254,84.2,2.2565,432.0,17.8,10.45,18.5
6.07,0.409,5.878,21.4,6.498,345.0,18.9,8.1,22.0
8.14,0.538,6.495,94.4,4.4547,307.0,21.0,12.8,18.4
18.1,0.713,6.417,98.3,2.185,666.0,20.2,19.31,13.0
2.01,0.435,6.635,29.7,8.344,280.0,17.0,5.99,24.5
6.91,0.448,6.03,85.5,5.6894,233.0,17.9,18.8,16.6
0.74,0.41,6.383,35.7,9.1876,313.0,17.3,5.77,24.7
18.1,0.718,4.963,91.4,1.7523,666.0,20.2,14.0,21.9
18.1,0.713,6.513,89.9,2.8016,666.0,20.2,10.29,20.2
7.38,0.493,6.041,49.9,4.7211,287.0,19.6,7.7,20.4
2.24,0.4,6.345,20.1,7.8278,358.0,14.8,4.97,22.5
18.1,0.614,6.103,85.1,2.0218,666.0,20.2,23.29,13.4
25.65,0.581,6.004,84.1,2.1974,188.0,19.1,14.27,20.3
18.1,0.7,5.536,100.0,1.5804,666.0,20.2,23.6,11.3
18.1,0.77,6.127,83.4,2.7227,666.0,20.2,11.48,22.7
18.1,0.597,5.757,100.0,1.413,666.0,20.2,10.11,15.0
18.1,0.671,6.968,91.9,1.4165,666.0,20.2,17.21,10.4
10.81,0.413,6.417,6.6,5.2873,305.0,19.2,6.72,24.2
6.41,0.447,6.854,42.8,4.2673,254.0,17.6,2.98,32.0
9.9,0.544,6.635,82.5,3.3175,304.0,18.4,4.54,22.8
9.69,0.585,5.39,72.9,2.7986,391.0,19.2,21.14,19.7
5.13,0.453,6.456,67.8,7.2255,284.0,19.7,6.73,22.2
5.19,0.515,6.059,37.3,4.8122,224.0,20.2,8.51,20.6
19.58,0.871,5.403,100.0,1.3216,403.0,14.7,26.82,13.4
9.9,0.544,6.567,87.3,3.6023,304.0,18.4,9.28,23.8
18.1,0.693,5.349,96.0,1.7028,666.0,20.2,19.77,8.3
2.46,0.488,7.155,92.2,2.7006,193.0,17.8,4.82,37.9
3.97,0.647,7.206,91.6,1.9301,264.0,13.0,8.1,36.5
4.05,0.51,5.859,68.7,2.7019,296.0,16.6,9.64,22.6
2.18,0.472,6.616,58.1,3.37,222.0,18.4,8.93,28.4
1.91,0.413,5.936,19.5,10.5857,334.0,22.0,5.57,20.6
6.96,0.464,6.538,58.7,3.9175,223.0,18.6,7.73,24.4
18.1,0.614,6.484,93.6,2.3053,666.0,20.2,18.68,16.7
2.68,0.4161,7.853,33.2,5.118,224.0,14.7,3.81,48.5
2.18,0.458,6.43,58.7,6.0622,222.0,18.7,5.21,28.7
19.58,0.605,6.101,93.0,2.2834,403.0,14.7,9.81,25.0
25.65,0.581,5.879,95.8,2.0063,188.0,19.1,17.58,18.8
19.58,0.871,5.468,100.0,1.4118,403.0,14.7,26.42,15.6
8.14,0.538,5.813,100.0,4.0952,307.0,21.0,19.88,14.5
21.89,0.624,6.372,97.9,2.3274,437.0,21.2,11.12,23.0
5.32,0.405,6.565,22.9,7.3172,293.0,16.6,9.51,24.8
18.1,0.58,6.437,75.0,2.8965,666.0,20.2,14.36,23.2
13.89,0.55,5.951,93.8,2.8893,276.0,16.4,17.92,21.5
18.1,0.693,5.453,100.0,1.4896,666.0,20.2,30.59,5.0
10.01,0.547,6.021,82.6,2.7474,432.0,17.8,10.3,19.2
8.56,0.52,6.127,85.2,2.1224,384.0,20.9,14.09,20.4
6.41,0.447,6.826,27.6,4.8628,254.0,17.6,4.16,33.1
4.86,0.426,6.167,46.7,5.4007,281.0,19.0,7.51,22.9
8.14,0.538,6.047,88.8,4.4534,307.0,21.0,17.28,14.8
3.24,0.46,5.868,25.8,5.2146,430.0,16.9,9.97,19.3
8.56,0.52,5.836,91.9,2.211,384.0,20.9,18.66,19.5
18.1,0.693,5.531,85.4,1.6074,666.0,20.2,27.38,8.5
18.1,0.532,6.75,74.9,3.3317,666.0,20.2,7.74,23.7
18.1,0.718,6.006,95.3,1.8746,666.0,20.2,15.7,14.2
19.58,0.871,5.404,100.0,1.5916,403.0,14.7,13.28,19.6
3.24,0.46,6.144,32.2,5.8736,430.0,16.9,9.09,19.8
6.96,0.464,5.856,42.1,4.429,223.0,18.6,13.0,21.1
12.83,0.437,6.14,45.8,4.0905,398.0,18.7,10.27,20.8
3.97,0.647,6.842,100.0,2.0107,264.0,13.0,6.9,30.1
1.47,0.403,7.135,13.9,7.6534,402.0,17.0,4.45,32.9
18.1,0.679,5.304,89.1,1.6475,666.0,20.2,26.64,10.4
18.1,0.693,5.683,100.0,1.4254,666.0,20.2,22.98,5.0
18.1,0.713,6.208,95.0,2.2222,666.0,20.2,15.17,11.7
8.56,0.52,6.195,54.4,2.7778,384.0,20.9,13.0,21.7
5.86,0.431,5.593,76.5,7.9549,330.0,19.1,12.5,17.6
5.64,0.439,6.115,63.0,6.8147,243.0,16.8,9.43,20.5
18.1,0.7,5.39,98.9,1.7281,666.0,20.2,20.85,11.5
18.1,0.74,6.251,96.6,2.198,666.0,20.2,16.44,12.6
2.89,0.445,8.069,76.0,3.4952,276.0,18.0,4.21,38.7
6.2,0.507,6.164,91.3,3.048,307.0,17.4,21.46,21.7
13.89,0.55,6.642,85.1,3.4211,276.0,16.4,9.69,28.7
4.05,0.51,6.546,33.1,3.1323,296.0,16.6,5.33,29.4
6.96,0.464,7.691,51.8,4.3665,223.0,18.6,6.58,35.2
6.2,0.507,8.337,73.3,3.8384,307.0,17.4,2.47,41.7
18.1,0.614,6.185,96.7,2.1705,666.0,20.2,18.03,14.6
18.1,0.655,5.952,84.7,2.8715,666.0,20.2,17.15,19.0
1.89,0.518,6.54,59.7,6.2669,422.0,15.9,8.65,16.5
18.1,0.671,6.545,99.1,1.5192,666.0,20.2,21.08,10.9
3.97,0.647,7.52,89.4,2.1398,264.0,13.0,7.26,43.1
21.89,0.624,5.857,98.2,1.6686,437.0,21.2,21.32,13.3
1.52,0.404,7.274,38.3,7.309,329.0,12.6,6.62,34.6
18.1,0.74,5.818,92.4,1.8662,666.0,20.2,22.11,10.5
1.69,0.411,5.884,18.5,10.7103,411.0,18.3,7.79,18.6
6.06,0.4379,5.706,28.4,6.6407,304.0,16.9,12.43,17.1
6.2,0.504,7.686,17.0,3.3751,307.0,17.4,3.92,46.7
10.59,0.489,5.891,22.3,3.9454,277.0,18.6,10.87,22.6
19.58,0.871,5.709,98.5,1.6232,403.0,14.7,15.79,19.4
8.14,0.538,5.834,56.5,4.4986,307.0,21.0,8.47,19.9
6.2,0.504,8.04,86.5,3.2157,307.0,17.4,3.13,37.6
18.1,0.713,6.436,87.9,2.3158,666.0,20.2,16.22,14.3
9.69,0.585,5.707,54.0,2.3817,391.0,19.2,12.01,21.8
18.1,0.532,6.242,64.7,3.4242,666.0,20.2,10.74,23.0
18.1,0.718,6.411,100.0,1.8589,666.0,20.2,15.02,16.7
6.09,0.433,6.495,18.4,5.4917,329.0,16.1,8.67,26.4
18.1,0.671,6.794,98.8,1.358,666.0,20.2,21.24,13.3
1.25,0.429,6.49,44.4,8.7921,335.0,19.7,5.98,22.9
5.13,0.453,5.966,93.4,6.8185,284.0,19.7,14.44,16.0
6.91,0.448,5.399,95.3,5.87,233.0,17.9,30.81,14.4
4.86,0.426,6.302,32.2,5.4007,281.0,19.0,6.72,24.8
19.58,0.871,5.628,100.0,1.5166,403.0,14.7,16.65,15.6
3.44,0.437,7.185,38.9,4.5667,398.0,15.2,5.39,34.9
3.97,0.647,7.203,81.8,2.1121,264.0,13.0,9.59,33.8
3.97,0.647,5.56,62.8,1.9865,264.0,13.0,10.45,22.8
6.91,0.448,6.169,6.6,5.7209,233.0,17.9,5.81,25.3
5.86,0.431,6.718,17.5,7.8265,330.0,19.1,6.56,26.2
15.04,0.464,6.442,53.6,3.6659,270.0,18.2,8.16,22.9
18.1,0.693,6.405,96.0,1.6768,666.0,20.2,19.37,12.5
5.96,0.499,5.85,41.5,3.9342,279.0,19.2,8.77,21.0
1.52,0.404,7.287,34.1,7.309,329.0,12.6,4.08,33.3
19.58,0.871,6.51,100.0,1.7659,403.0,14.7,7.39,23.3
10.81,0.413,6.065,7.8,5.2873,305.0,19.2,5.52,22.8
6.91,0.448,5.786,33.3,5.1004,233.0,17.9,14.15,20.0
1.76,0.385,6.23,31.5,9.0892,241.0,18.2,12.93,20.1
7.87,0.524,5.631,100.0,6.0821,311.0,15.2,29.93,16.5
6.2,0.507,7.358,71.6,4.148,307.0,17.4,4.73,31.5
6.2,0.504,8.266,78.3,2.8944,307.0,17.4,4.14,44.8
18.1,0.584,6.162,97.4,2.206,666.0,20.2,24.1,13.3
18.1,0.74,6.459,94.8,1.9879,666.0,20.2,23.98,11.8
15.04,0.464,6.249,77.3,3.615,270.0,18.2,10.59,20.6
18.1,0.74,6.341,96.4,2.072,666.0,20.2,17.79,14.9
2.46,0.488,6.98,58.4,2.829,193.0,17.8,5.04,37.2
18.1,0.614,5.304,97.3,2.1007,666.0,20.2,24.91,12.0
9.9,0.544,6.266,82.8,3.2628,304.0,18.4,7.9,21.6
5.19,0.515,5.869,46.3,5.2311,224.0,20.2,9.8,19.5
2.24,0.4,7.041,10.0,7.8278,358.0,14.8,4.74,29.0
18.1,0.659,5.608,100.0,1.2852,666.0,20.2,12.13,27.9
3.41,0.489,7.079,63.1,3.4145,270.0,17.8,5.7,28.7
2.18,0.458,6.998,45.8,6.0622,222.0,18.7,2.94,33.4
18.1,0.77,6.395,91.0,2.5052,666.0,20.2,13.27,21.7
18.1,0.679,6.193,78.1,1.9356,666.0,20.2,21.52,11.0
18.1,0.74,6.152,100.0,1.9142,666.0,20.2,26.45,8.7
2.31,0.538,6.575,65.2,4.09,296.0,15.3,4.98,24.0
4.0,0.41,5.888,47.6,7.3197,469.0,21.1,14.8,18.9
18.1,0.584,6.003,94.5,2.5403,666.0,20.2,21.32,19.1
27.74,0.609,5.454,92.7,1.8209,711.0,20.1,18.06,15.2
19.58,0.605,6.319,96.1,2.1,403.0,14.7,11.1,23.8
18.1,0.584,5.565,70.6,2.0635,666.0,20.2,17.16,11.7
18.1,0.74,6.219,100.0,2.0048,666.0,20.2,16.59,18.4
5.13,0.453,5.741,66.2,7.2254,284.0,19.7,13.15,18.7
1.47,0.403,6.975,15.3,7.6534,402.0,17.0,4.56,34.9
13.92,0.437,6.678,31.1,5.9604,289.0,16.0,6.27,28.6
18.1,0.693,5.987,100.0,1.5888,666.0,20.2,26.77,5.6
2.18,0.472,7.236,41.1,4.022,222.0,18.4,6.93,36.1
10.01,0.547,5.872,73.1,2.4775,432.0,17.8,15.37,20.4
7.87,0.524,5.889,39.0,5.4509,311.0,15.2,15.71,21.7
25.65,0.581,5.986,88.4,1.9929,188.0,19.1,14.81,21.4
19.58,0.871,6.152,82.6,1.7455,403.0,14.7,15.02,15.6
18.1,0.671,6.38,96.2,1.3861,666.0,20.2,23.69,13.1
21.89,0.624,6.174,93.6,1.6119,437.0,21.2,24.16,14.0
13.92,0.437,5.79,58.0,6.32,289.0,16.0,15.84,20.3
18.1,0.7,6.051,82.5,2.1678,666.0,20.2,18.76,23.2
5.86,0.431,8.259,8.4,8.9067,330.0,19.1,3.54,42.8
1.52,0.442,7.241,49.3,7.0379,284.0,15.5,5.49,32.7
3.97,0.647,7.333,100.0,1.8946,264.0,13.0,7.79,36.0
18.1,0.679,6.782,90.8,1.8195,666.0,20.2,25.79,7.5
1.69,0.411,6.579,35.9,10.7103,411.0,18.3,5.49,24.1
4.49,0.449,6.121,56.8,3.7476,247.0,18.5,8.44,22.2
11.93,0.573,6.794,89.3,2.3889,273.0,21.0,6.48,22.0
10.59,0.489,5.412,9.8,3.5875,277.0,18.6,29.55,23.7
8.14,0.538,6.674,87.3,4.239,307.0,21.0,11.98,21.0
4.93,0.428,6.358,52.9,7.0355,300.0,16.6,11.22,22.2
18.1,0.668,4.138,100.0,1.137,666.0,20.2,37.97,13.8
3.41,0.489,6.405,73.9,3.0921,270.0,17.8,8.2,22.0
5.19,0.515,5.968,58.5,4.8122,224.0,20.2,9.29,18.7
18.1,0.655,6.209,65.4,2.9634,666.0,20.2,13.22,21.4
19.58,0.605,5.877,79.2,2.4259,403.0,14.7,12.14,23.8
5.86,0.431,6.108,34.9,8.0555,330.0,19.1,9.16,24.3
3.37,0.398,5.787,31.1,6.6115,337.0,16.1,10.24,19.4
2.24,0.4,6.871,47.4,7.8278,358.0,14.8,6.07,24.8
4.95,0.411,6.63,23.4,5.1167,245.0,19.2,4.7,27.9
21.89,0.624,5.693,96.0,1.7883,437.0,21.2,17.19,16.2
9.9,0.544,6.113,58.8,4.0019,304.0,18.4,12.73,21.0
2.46,0.488,6.153,68.8,3.2797,193.0,17.8,13.15,29.6
3.33,0.4429,7.82,64.5,4.6947,216.0,14.9,3.76,45.4
21.89,0.624,5.757,98.4,2.346,437.0,21.2,17.31,15.6
8.14,0.538,5.599,85.7,4.4546,307.0,21.0,16.51,13.9
3.44,0.437,6.951,21.5,6.4798,398.0,15.2,5.1,37.0
3.64,0.392,5.876,19.1,9.2203,315.0,16.4,9.25,20.9
8.14,0.538,5.99,81.7,4.2579,307.0,21.0,14.67,17.5
3.97,0.647,8.398,91.5,2.2885,264.0,13.0,5.91,48.8
6.2,0.504,7.412,76.9,3.6715,307.0,17.4,5.25,31.7
18.1,0.77,5.362,96.2,2.1036,666.0,20.2,10.19,20.8
4.93,0.428,6.606,42.2,6.1899,300.0,16.6,7.37,23.3
5.13,0.453,6.762,43.4,7.9809,284.0,19.7,9.5,25.0
8.14,0.538,5.813,90.3,4.682,307.0,21.0,14.81,16.6
3.97,0.647,7.327,94.5,2.0788,264.0,13.0,11.25,31.0
19.58,0.871,4.926,95.7,1.4608,403.0,14.7,29.53,14.6
19.58,0.871,6.129,96.0,1.7494,403.0,14.7,15.12,17.0
5.64,0.439,5.998,21.4,6.8147,243.0,16.8,8.43,23.4
18.1,0.7,4.88,100.0,1.5895,666.0,20.2,30.62,10.2
6.2,0.504,6.552,21.4,3.3751,307.0,17.4,3.76,31.5
18.1,0.74,6.629,94.6,2.1247,666.0,20.2,23.27,13.4
10.59,0.489,5.96,92.1,3.8771,277.0,18.6,17.27,21.7
6.41,0.447,7.267,49.0,4.7872,254.0,17.6,6.05,33.2
18.1,0.713,6.081,84.4,2.7175,666.0,20.2,14.7,20.0
18.1,0.532,7.061,77.0,3.4106,666.0,20.2,7.01,25.0
18.1,0.668,4.906,100.0,1.1742,666.0,20.2,34.77,13.8
18.1,0.713,6.376,88.4,2.5671,666.0,20.2,14.65,17.7
2.46,0.488,5.604,89.8,2.9879,193.0,17.8,13.98,26.4
9.9,0.544,6.023,90.4,2.834,304.0,18.4,11.72,19.4
8.14,0.538,5.727,69.5,3.7965,307.0,21.0,11.28,18.2
12.83,0.437,6.273,6.0,4.2515,398.0,18.7,6.78,24.1
18.1,0.583,5.905,53.2,3.1523,666.0,20.2,11.45,20.6
18.1,0.713,6.301,83.7,2.7831,666.0,20.2,16.23,14.9
5.19,0.515,6.037,34.5,5.9853,224.0,20.2,8.01,21.1
18.1,0.7,5.713,97.0,1.9265,666.0,20.2,17.11,15.1
6.2,0.507,6.086,61.5,3.6519,307.0,17.4,10.88,24.0
19.58,0.605,5.875,94.6,2.4259,403.0,14.7,14.43,17.4
19.58,0.871,6.13,100.0,1.4191,403.0,14.7,27.8,13.8
18.1,0.679,6.434,100.0,1.8347,666.0,20.2,29.05,7.2
21.89,0.624,5.822,95.4,2.4699,437.0,21.2,15.03,18.4
2.02,0.41,6.728,36.1,12.1265,187.0,17.0,4.5,30.1
9.69,0.585,5.569,73.5,2.3999,391.0,19.2,15.1,17.5
19.58,0.871,5.272,94.0,1.7364,403.0,14.7,16.14,13.1
6.2,0.507,8.247,70.4,3.6519,307.0,17.4,3.95,48.3
7.87,0.524,6.377,94.3,6.3467,311.0,15.2,20.45,15.0
18.1,0.693,5.887,94.7,1.7821,666.0,20.2,16.35,12.7
13.89,0.55,6.373,92.4,3.3633,276.0,16.4,10.5,23.0
6.06,0.4379,6.031,23.3,6.6407,304.0,16.9,7.83,19.4
18.1,0.693,5.852,77.8,1.5004,666.0,20.2,29.97,6.3
18.1,0.532,6.229,90.7,3.0993,666.0,20.2,12.87,19.6
12.83,0.437,6.279,74.5,4.0522,398.0,18.7,11.97,20.0
18.1,0.693,6.343,100.0,1.5741,666.0,20.2,20.32,7.2
5.64,0.439,6.511,21.1,6.8147,243.0,16.8,5.28,25.0
4.86,0.426,6.727,33.5,5.4007,281.0,19.0,5.29,28.0
2.89,0.445,6.163,69.6,3.4952,276.0,18.0,11.34,21.4
18.1,0.713,6.749,92.6,2.3236,666.0,20.2,17.44,13.4
1.38,0.4161,7.104,59.5,9.2229,216.0,18.6,8.05,33.0
8.56,0.52,6.727,79.9,2.7778,384.0,20.9,9.42,27.5
4.05,0.51,6.86,74.4,2.9153,296.0,16.6,6.92,29.9
7.38,0.493,6.426,52.3,4.5404,287.0,19.6,7.2,23.8
18.1,0.713,5.976,87.9,2.5806,666.0,20.2,19.01,12.7
18.1,0.713,7.393,99.3,2.4527,666.0,20.2,16.74,17.8
8.56,0.52,6.137,87.4,2.7147,384.0,20.9,13.44,19.3
18.1,0.584,6.425,74.8,2.2004,666.0,20.2,12.03,16.1
9.69,0.585,5.67,28.8,2.7986,391.0,19.2,17.6,23.1
18.1,0.7,4.652,100.0,1.4672,666.0,20.2,28.28,10.5
18.1,0.584,5.837,59.7,1.9976,666.0,20.2,15.69,10.2
18.1,0.659,4.138,100.0,1.1781,666.0,20.2,23.34,11.9
18.1,0.74,6.485,100.0,1.9784,666.0,20.2,18.85,15.4
8.56,0.52,6.474,97.1,2.4329,384.0,20.9,12.27,19.8
8.14,0.538,5.935,29.3,4.4986,307.0,21.0,6.58,23.1
5.32,0.405,6.209,31.3,7.3172,293.0,16.6,7.14,23.2
8.56,0.52,6.781,71.3,2.8561,384.0,20.9,7.67,26.5
25.65,0.581,5.961,92.9,2.0869,188.0,19.1,17.93,20.5
18.1,0.58,5.713,56.7,2.8237,666.0,20.2,14.76,20.1
18.1,0.74,5.935,87.9,1.8206,666.0,20.2,34.02,8.4
18.1,0.713,6.185,98.7,2.2616,666.0,20.2,18.13,14.1
25.65,0.581,5.856,97.0,1.9444,188.0,19.1,25.41,17.3
10.59,0.489,6.375,32.3,3.9454,277.0,18.6,9.38,28.1
10.81,0.413,5.961,17.5,5.2873,305.0,19.2,9.88,21.7
21.89,0.624,6.454,98.4,1.8498,437.0,21.2,14.59,17.1
7.87,0.524,6.004,85.9,6.5921,311.0,15.2,17.1,18.9
4.49,0.449,6.015,45.1,4.4272,247.0,18.5,12.86,22.5
18.1,0.58,5.926,71.0,2.9084,666.0,20.2,18.13,19.1
18.1,0.614,5.648,87.6,1.9512,666.0,20.2,14.1,20.8
6.2,0.507,6.618,80.8,3.2721,307.0,17.4,7.6,30.1
27.74,0.609,5.414,98.3,1.7554,711.0,20.1,23.97,7.0
6.91,0.448,5.602,62.0,6.0877,233.0,17.9,16.2,19.4
2.25,0.389,6.453,31.9,7.3073,300.0,15.3,8.23,22.0
1.32,0.411,6.816,40.5,8.3248,256.0,15.1,3.95,31.6
18.1,0.584,6.348,86.1,2.0527,666.0,20.2,17.64,14.5
19.58,0.605,6.066,100.0,1.7573,403.0,14.7,6.43,24.3
6.91,0.448,5.682,33.8,5.1004,233.0,17.9,10.21,19.3
5.64,0.439,5.963,45.7,6.8147,243.0,16.8,13.45,19.7
18.1,0.77,6.251,91.1,2.2955,666.0,20.2,14.19,19.9
1.91,0.413,5.663,21.9,10.5857,334.0,22.0,8.05,18.2
18.1,0.713,6.525,86.5,2.4358,666.0,20.2,18.13,14.1
2.89,0.445,7.82,36.9,3.4952,276.0,18.0,3.57,43.8
5.19,0.515,5.895,59.6,5.615,224.0,20.2,10.56,18.5
9.9,0.544,4.973,37.8,2.5194,304.0,18.4,12.64,16.1
25.65,0.581,5.613,95.6,1.7572,188.0,19.1,27.26,15.7
6.41,0.447,6.482,32.1,4.1403,254.0,17.6,7.19,29.1
4.39,0.442,5.898,52.3,8.0136,352.0,18.8,12.67,17.2
19.58,0.605,6.943,97.4,1.8773,403.0,14.7,4.59,41.3
18.1,0.77,5.803,89.0,1.9047,666.0,20.2,14.64,16.8
8.14,0.538,5.95,82.0,3.99,307.0,21.0,27.71,13.2
4.93,0.428,6.481,18.5,6.1899,300.0,16.6,6.36,23.7
18.1,0.597,6.657,100.0,1.5275,666.0,20.2,21.22,17.2
8.14,0.538,5.949,61.8,4.7075,307.0,21.0,8.26,20.4
5.86,0.431,5.605,70.2,7.9549,330.0,19.1,18.46,18.5
19.58,0.605,6.402,95.2,2.2625,403.0,14.7,11.32,22.3
6.2,0.507,6.879,77.7,3.2721,307.0,17.4,9.93,27.5
18.1,0.7,5.277,98.1,1.4261,666.0,20.2,30.81,7.2
